Player 1,Player 1 Slot,Character 1,Character 1 Alt,Player 2,Player 2 Slot,Character 2,Character 2 Alt,Winner,Tournament No.,Round No.
boanshu,7,Piranha Plant,8,jekkk,19,Inkling,5,jekkk,1,1
satanicmetalbug,20,Link,1,just_like_home,25,Snake,3,satanicmetalbug,1,1
fairylatte,14,Cloud,1,fightingjoey,28,Hero,6,fightingjoey,1,1
gaperitis,9,Kirby,1,basil_swags,27,Donkey Kong,8,basil_swags,1,1
sylviasnapdragon,29,Falco,8,Hero_Yoshi,2,King K. Rool,3,Hero_Yoshi,1,1
NormalWaddleDee,31,Bayonetta,4,NECROcade,30,Ike,7,NormalWaddleDee,1,1
the1trueant,1,Sephiroth,2,spoons_r_yummy,12,Kirby,8,the1trueant,1,1
xallord,32,Pac Man,2,sunflowersmith,4,Isabelle,8,sunflowersmith,1,1
techentiumetal,24,Pythra,2,scarlethaven346,21,Kazuya,8,scarlethaven346,1,1
collectordoggo,15,Isabelle,4,Khan_Cena,8,Zelda,6,Khan_Cena,1,1
sewagebear,23,Joker,5,FaithyTree,6,Zelda,7,sewagebear,1,1
ebgam3r7,18,Captain Falcon,6,anzennaowl,5,Little Mac,4,ebgam3r7,1,1
FyrusYT,22,Sephiroth,7,kayef42,13,R.O.B.,1,kayef42,1,1
CadorTS,3,Kazuya,6,NoWyre,26,Sephiroth,8,CadorTS,1,1
smolgoatfish,10,Pichu,5,QBee_Buzz,11,Lucario,4,QBee_Buzz,1,1
kael333_,16,Kirby,3,MangoKittenGaming,17,Sora,7,MangoKittenGaming,1,1
jekkk,19,Inkling,5,satanicmetalbug,20,Link,1,satanicmetalbug,1,2
fightingjoey,28,Hero,6,basil_swags,27,Donkey Kong,8,fightingjoey,1,2
Hero_Yoshi,2,King K. Rool,3,NormalWaddleDee,31,Bayonetta,4,Hero_Yoshi,1,2
the1trueant,1,Sephiroth,2,sunflowersmith,4,Isabelle,8,sunflowersmith,1,2
scarlethaven354,21,Kazuya,8,Khan_Cena,8,Zelda,6,Khan_Cena,1,2
sewagebear,23,Joker,5,ebgam3r7,18,Captain Falcon,6,sewagebear,1,2
kayef42,13,R.O.B.,1,CadorTS,3,Kazuya,6,CadorTS,1,2
QBee_Buzz,11,Lucario,4,MangoKittenGaming,17,Sora,7,MangoKittenGaming,1,2
satanicmetalbug,20,Link,1,fightingjoey,28,Hero,6,fightingjoey,1,3
Hero_Yoshi,2,King K. Rool,3,sunflowersmith,4,Isabelle,8,Hero_Yoshi,1,3
Khan_Cena,8,Zelda,6,sewagebear,23,Joker,5,sewagebear,1,3
CadorTS,3,Kazuya,6,MangoKittenGaming,17,Sora,7,CadorTS,1,3
fightingjoey,28,Hero,6,Hero_Yoshi,2,King K. Rool,3,Hero_Yoshi,1,4
sewagebear,23,Joker,5,CadorTS,3,Kazuya,6,CadorTS,1,4
Hero_Yoshi,2,King K. Rool,3,CadorTS,3,Kazuya,6,Hero_Yoshi,1,5
remylikeschilli,25,Kirby,3,MangoKittenGaming,22,Sora,7,remylikeschilli,2,1
CadorTS,20,Kazuya,6,the1trueant,1,Sephiroth,8,CadorTS,2,1
fightingjoey,15,Little Mac,5,basil_swags,11,Kazuya,2,basil_swags,2,1
jeshsomething,13,Sonic,5,6double,5,Byleth,7,6double,2,1
smolgoatfish,23,Palutena,1,collectordoggo,26,Isabelle,4,smolgoatfish,2,1
NECROcade,3,Dark Samus,5,NoWyre,4,Sephiroth,7,NoWyre,2,1
just_like_home,28,Snake,3,sunflowersmith,2,Hero,5,sunflowersmith,2,1
mollienoodles,17,Pikachu,5,ebgam3r7,27,Shulk,8,ebgam3r7,2,1
Azulparrot,14,Sora,2,Benwor,12,Sephiroth,1,Azulparrot,2,1
anzennaowl,30,Cloud,1,feffer,29,Sephiroth,3,feffer,2,1
ThunderScott,19,Steve,8,iamfixated,16,Pac Man,5,ThunderScott,2,1
MrG0ldenCat,9,Ness,3,fairylatte,31,Sephiroth,3,fairylatte,2,1
7he1nquisition,8,Ridley,3,ChefBoi0Meme,32,Kirby,1,7he1nquisition,2,1
technetiumetal,24,Dark Pit,1,satanicmetalbug,6,Link,1,satanicmetalbug,2,1
pleasegiveusername,10,Lucina,1,ContrarianQueen,18,R.O.B.,1,pleasegiveusername,2,1
FyrusYT,7,Joker,3,jekkk,21,Inkling,4,FyrusYT,2,1
remylikeschilli,25,Kirby,3,CadorTS,20,Kazuya,6,CadorTS,2,2
basil_swags,11,Kazuya,2,6double,5,Byleth,7,6double,2,2
smolgoatfish,23,Palutena,1,NoWyre,4,Sephiroth,7,NoWyre,2,2
sunflowersmith,2,Hero,5,ebgam3r7,27,Shulk,8,sunflowersmith,2,2
Azulparrot,14,Sora,2,feffer,29,Sephiroth,3,Azulparrot,2,2
ThunderScott,19,Steve,8,fairylatte,31,Sephiroth,3,fairylatte,2,2
7he1nquisition,8,Ridley,3,satanicmetalbug,6,Link,1,7he1inquisition,2,2
pleasegiveusername,10,Lucina,1,FyrusYT,7,Joker,3,FyrusYT,2,2
CadorTS,20,Kazuya,6,6double,5,Byleth,7,CadorTS,2,3
NoWyre,4,Sephiroth,7,sunflowersmith,2,Hero,5,NoWyre,2,3
Azulparrot,14,Sora,2,fairylatte,31,Sephiroth,3,Azulparrot,2,3
7he1nquisition,8,Ridley,3,FyrusYT,7,Joker,3,FyrusYT,2,3
CadorTS,20,Kazuya,6,NoWyre,4,Sephiroth,7,CadorTS,2,4
Azulparrot,14,Sora,2,FyrusYT,7,Joker,3,Azulparrot,2,4
CadorTS,20,Kazuya,6,Azulparrot,14,Sora,2,CadorTS,2,5
Jazmine_Dragon,5,Sheik,8,ebgam3r7,6,Lucas,5,ebgam3r7,3,1
jujupuff,7,Jigglypuff,6,goonguy37,15,Ganondorf,4,goonguy37,3,1
1nfernalfire,28,Joker,7,NECROcade,26,Young Link,3,1nfernalfire,3,1
laurelgaming,24,Palutena,6,scarlethaven346,4,Byleth,6,scarlethaven346,3,1
mollienoodles,21,Pikachu,5,ASingleRaindrop,18,Inkling,8,ASingleRaindrop,3,1
ChefBoi0Meme,13,King Dedede,1,StuffWithConnor,30,Pichu,6,ChefBoi0Meme,3,1
manashortage,11,Ness,7,User_name_Pending,10,Pythra,7,User_name_pending,3,1
kael333_,32,Kazuya,5,SashaDeminova,1,Inkling,7,kael333_,3,1
nocolorsbutgrey,25,Link,8,jeshsomething,17,Sonic,5,jeshsomething,3,1
